Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': -1.337200181838468, 'mu': 7.812376838824253, 'gamma': 0.30470260276040834, 'p': 4.910544441067162, 's': 2.9370957174761236} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': -0.7453906771025363, 'mu': 9.890949297324916, 'gamma': 4.399235914581507, 'p': 3.8694743366290862, 's': 1.8766144656770782} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 7.153613492348544, 'mu': 7.35790040331886, 'gamma': 4.929495005928473, 'p': 3.2188607752964424, 's': 4.051665653888642} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 3.1624368110098953, 'mu': 4.7924303729963045, 'gamma': 3.4808842461163625, 'p': 3.1135890778096527, 's': 1.605305502134814} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: STABLE         | Entropy: -1.0000 | LLE: -0.5859 | Params: {'alpha': -1.3172057675776667, 'mu': 0.3424215949944678, 'gamma': 4.550401859689223, 'p': 2.170506308684701, 's': 4.6020653492056125} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 8.317715513702131, 'mu': 4.296387191788327, 'gamma': 3.9280498761412703, 'p': 4.424099087939208, 's': 4.45816598716298} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0014 | Params: {'alpha': 0.8671409687804887, 'mu': -0.274241216536823, 'gamma': 2.2865314120468168, 'p': 3.579049905075773, 's': 0.1299359319621296} | R21: 0.5000 | phi21: 4.7125 | R31: 0.3333 | phi31: 3.1418 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 5.040586188745443, 'mu': 2.5628151981603158, 'gamma': 4.037948307184189, 'p': 1.4344009031331857, 's': 2.764889397299509} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy:  0.6741 | LLE:  0.0344 | Params: {'alpha': 4.8810289843689025, 'mu': 0.22521030470549608, 'gamma': 0.7470912440050764, 'p': 1.5770411990668736, 's': 1.1893484543726336} | R21: 0.4656 | phi21: 4.9835 | R31: 0.3086 | phi31: 3.6319 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 2.9282625313175954, 'mu': 2.27233530383372, 'gamma': 3.6366802077798606, 'p': 0.6150603440965929, 's': 4.400253088197928} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 9.347897493828839, 'mu': 0.31174370485666536, 'gamma': 0.4820589643575698, 'p': 0.6865377258508615, 's': 4.552953153770394} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 0.5291285793020455, 'mu': 3.1798991156849583, 'gamma': 2.247363228953671, 'p': 3.2385505647405077, 's': 4.594608582820847} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy:  0.5906 | LLE:  0.0281 | Params: {'alpha': -1.98068610269749, 'mu': 1.5578500757778797, 'gamma': 3.344205033037075, 'p': 0.03571089320394072, 's': 0.44702227211987466} | R21: 0.4106 | phi21: 1.2465 | R31: 0.3799 | phi31: 2.8896 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0010 | Params: {'alpha': 2.6679015637256107, 'mu': -0.01486629531474537, 'gamma': 3.1042174549179267, 'p': 2.3586499984312432, 's': 4.007821494560105} | R21: 0.5000 | phi21: 4.7124 | R31: 0.3333 | phi31: 3.1416 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': -0.2541548421069315, 'mu': 4.639517423245811, 'gamma': 3.3470948195793846, 'p': 4.570701439797299, 's': 2.028842485388776} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 8.735044249116429, 'mu': 3.514032786529822, 'gamma': 3.3133295410061017, 'p': 1.3774594080477642, 's': 2.8964891793462537} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 3.601382398723457, 'mu': 5.594312550061481, 'gamma': 4.691636965406771, 'p': 4.417343103672635, 's': 1.5016043275562847} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
